zolai	english	translations	cefr	example
baikna	offered	offered | prepared | seven | altars	A1	1962 PANIN BAIKNA SUNGAH KHATHU BEK GENNA KIBULPHUH HI.
baiknate	months	months | your | over | offerings	A1	
bak	lapwing	lapwing | bread | pieces | mouth	A1	gun vapi, gun vazonei nam khempeuh, huihtun leh bak ahi hi.
bakbak	wolf	wolf | benjamin | ravin | morning	A1	“Benjamin, a ne bakbak keivom hi
bakte	legs	legs | pieces | wash | inwards	A1	buite leh bakte a paih ding uh hi.
bakuth	bachuth	bachuth | oak | name | called	A1	
bal	shalt	shalt | spirit | beards | ravening	A1	nang in bal nenin a tungah sathau na sung ding
balaam	balaam	balaam | balak | angel | god	A1	Balaam in Balak kiangah, “Kei kiangah nong sawl na kamtaite kiangah
balah	shual	shual | hazar | balah | ezem	A1	
balak	balak	balak | balaam | king | moab	A1	Balaam in Balak kiangah, “Kei kiangah nong sawl na kamtaite kiangah
balgawp	fat	fat | itself | name | none	A1	Kei hong hon kei lecin
balgawpte	torn	torn | dieth | itself | beasts	A1	A mawk sihte hita leh gamsate in
balkeek	clothes	clothes | your | laded | thereof	A1	Tua ciangin Ahijah in ama tungah
balkeekin	clothes	clothes | put | rent | sackcloth	A1	kihel Nun’ tapa Joshua leh Jefunneh’ tapa Kaleb-te in
balkek	rent	rent | clothes | rend | garment	A1	Kumpipa in thukham kammalte a zak ciangin a puante balkek hi.
balkham	head	head | gad | teareth | arm	A1	amah in a baan leh a luzang, a balkham hi.
balkhia	away	away | woof | son | saith	A1	Tua ciangin Samuel in ama kiangah
balnensa	meat	meat | thou | shalt | baken	A1	{ Topa}-a' ding a gim namtui dingin na pia ding hi.
baltat	asunder	asunder | fire | cleave | wings	A1	
balzan	pieces	pieces | flesh | thence | hath	A1	Gamsa in a balzan ahih leh
balzante	beasts	beasts | torn | brought | bare	A1	Gamlak ganhingte' balzante, nang' kiangah kong puak kei hi. Tua
bamoth	bamoth	bamoth | took | nahaliel | valley	A1	Mattanah panin Nahaliel, Nahaliel panin Bamoth,
bamothbaal	baal	baal | bamoth | beth | meon	A1	Heshbon tawh, leh mualzang tunga om a khuapite khempeuh; Dibon, Bamothbaal, Bethbaalmeon,
ban	arm	come | first | east | beside	A1	Lunghiang mite na hanthotna, khut kha, ban khate na khauhsakna,
banah	beyond	offering | burnt | beside | desire	A1	Ama kicin’na pan i ngah hehpihna in khat banah khat
banbuhte	rings	rings | brought | gold | offered	A1	Kote in { Topa' } mai-ah ko-a' dingin kilemna bawlna ding
bang	as	missing | thou | because | what	A1	Mihingte bang lelin gamta na hi hiam?
banga	missing	missing | thou | man | behold	A1	Tua banga a kiciamte a kisim ciangin sawmli val pha hi.
bangah	way	way | except | sat | over	A1	a cilna panin sisan vive luangkhia-in
bangbang	only	only | other | able | get	A1	Minam dangte tawh kihelin amau gamtat bangbang
bangbangin	whenever	according | what | haste | israel	A1	Keimah,{ Topa}, tua lo a hongpa ka hi
bangci	how	how | missing | what | thou	A1	Topa’ la, gamdang ah bangci sak thei ding i hi hiam?
bangmah	nothing	nothing | thou | missing | any	A1	Pilna, theihna, thugennate in, Topa’ mai-ah bangmah man lo hi.
bangmahin	days	days | near | wherein | fields	A1	Noah zong tua bangmahin gamta a, Pasian' thupiak khempeuh a hih hi.
bangte	heard	heard | these | because | guided	A1	Ka khang tawnin tua bangte ka en tawntung hi.
bangtungzawl	houses	houses | side | blood | door	A1	nekna uh inn kongkhak khuam nihte leh
bangun	your	your | according | good | after	A1	Misiangthote a sapna bangun na hawm un. Zindo na hahkat un.
bangzah	missing	missing | saith | mine | god	A1	Topa, na sepnate bangzah takin lian! Na ngaihsutnate thuk mahmah!
bangzahin	dreadful	dreadful | israel | yea | keilah	A1	Topa, kote’ Topa aw, leitung khempeuhah na min bangzahin lian!
banin	lord	lord | wilderness | zin | walled	A1	“Amah in a sangna mun panin hong banin kei hong la
bansau	colours	colours | joseph | coat | garment	A1	a sanggamte' kiangah Josef hong tun' ciangin
banto	clouds	clouds | heaven | boards | under	A1	{ Topa } aw, na itna kip in vantung ban
barnea	years	years | fathers | amorites | likewise	A1	Joshua in amaute Kadesh-barnea panin Gaza ciang dong
basemath	bashemath	bashemath | daughter | sister | son	A1	leh Nebaioth’ sanggamnu, Ishmael’ tanu Basemath ahi hi.
bashan	bashan	bashan | king | gilead | cities	A1	Amor kumpipa Sihon, Bashan kumpipa Og leh Kanaan kumpipa that hi.
bashante	gilead	gilead | land | ten | portions	A1	Tua ahih ciangin Jordan gal khatah Gilead leh Bashante simloh
bashon	bashan	bashan | cities | plain | gilead	A1	om Og kumpi gam kh.
bat	far	far | under | nophah | before	A1	“A man mahmahin note kiangah kong genin-ah: Note kikheelin naupang
batsak	face	face | repair | daughter | whom	A1	Hih thu khit ciangin Joash in Topa’ biakinn
bawh	lunge	eagle | your | rise | liers	A1	Amah in vompi bangin hong buk
bawk	swell	rising | clusters | quick | there	A1	a bawk hita leh meima hita leh a tuampian mun tawh kisai-in,
bawkte	bitter	bitter | oxen | gather | grapes	A1	lungdam lahna-in hong puak uh hi.
bawl	make	make | made | thou | covenant	A1	Mipawl khempeuhte mai-ah na bawl gupna,
bawla	time	time | thus | missing | called	A1	“Leitung bawla a kipsak Topa
bawlin	make	make | put | thou | saith	A1	Ka dahnate kimangngilh bawlin, kimaitaisak ning ci ta leng zong,
bawlna	treatment	work | saith | things | answered	A1	Israelte in Amor mite tungah
bawlnasa	there	there | plead | nations | place	A1	a masa-a biakna tau khat
bawlnate	works	works | seen | wherewith | terrible	A1	Pasian' sepsate mu un. Mite' laka a bawlnate-ah amah dipkuathuai hi.
bawlpa	thus	thus | idols | engraver | gad	A1	Amau' lungsim a bawlpa in amaute' gamtatnate en gige hi.
bawlsa	ready-made	made | house | more | sight	A1	bawlsa meh lim leh an
bawlsak	make	make | before | hath | made	A1	“Kua in guahzuk nading tuilam bawlsak
bawlsakna	offer	offer | yourselves | levites | offering	A1	Bang hang hiam cih leh nang ka Pasian in keima
bawlsakpa	eyes	eyes | great | terrible | things	A1	Amah pen nomau' phat ding ahi hi. Na mitte un
bawlsate	every	every | micah | because | works	A1	Na khut tawh na bawlsate khempeuh tungah ukna amah na pia hi.
bawlsiat	missing	missing | lord | shalt | whether	A1	Bawlsiat thuakna, zawn’khal thuakna, a kipelh zo lo gimna thuakna,
bawlte	workers	workers | make | brass | midianites	A1	migilote’ sawm simna, thusia bawlte’ vaihawmna,
bawng	hoof	thou | cow | oxen | missing	A1	bawng tul sawmsagih leh tulnih,
bawnghon	cattle	flocks | flock | abraham | possession	A1	A haupa in tuuhon leh bawnghon tampi nei hi;
bawnghonte	herds	herds | young | oxen | children	A1	Na tuuhonte hoih takin thei in la
bawngla	years	years | law | sight | cast	A1	Keel sisan, bawngtal sisan, leh bawngla kihaltum vute, biakna vai-in
bawngnawi	milk	milk | surely | fathers | white	A1	Amah in bawngnawi leh khuaizu guntui bangin
bawngno	calf	calf | made | came | missing	A1	Lebanon mual leh Sirion mualte bawngno leh gamsialno bangin amah
bawngpi	kine	kine | came | forty | river	A1	thau bawngpi sagihte netum hi,
bawngpite	favoured	favoured | yoke | took | offered	A1	thau bawngpi sagihte netum hi,
bawngtal	bull	bullock | offerings | before | oxen	A1	A ki-ap biaknate in bawngtal zaguk leh tuu tulthum ahi hi.
bawngtalno	bullock	ram | offering | rams | sinned	A1	meihal biak nadingin bawngtalno khat
bawngtalte	oxen	oxen | offerings | sheep | bullocks	A1	Tua ahih ciangin Moses in leengte leh bawngtalte sangin Levi
bawngte	cattle	cattle | land | flocks | beasts	A1	A bawngte uh pung a, ta tolh cih zong om lo hi.
bealoth	bealoth	bealoth | hushai | baanah | son	A1	Hushai' tapa Baana: Asher gam leh Bealoth khuasungah;
bedad	midian	midian | hadad | son | bedad	A1	
bedolak	bdellium	bdellium | colour | good | there	A1	tua gam-a khamte hoih hi; tua munah bedolak singnai leh
beek	saith	saith | missing | nor | none	A1	Kilamdan’na neukha beek a om kei hi.
beel	pot	saith | broken | say | water	A1	Elishama, Beel-i-ada, leh Elifelet ahi uh hi.
beelin	fear	fear | commandments | clefts | men	A1	Mualtung gam panin a hong zu guahtui in amaute kawtciimsak
beelte	house	house | vessels | made | trumpets	A1	“Hih tui beelte tui na dimsak un,” ci-in nasemte a sawl hi.
beem	o	missing | sanctify | homers | measures	A1	Bang hang hiam cih leh leenggah lo eka sawm in
beh	clan	families | old | children | fathers	A1	Binnui-te beh panin Shimei,
behbeh	great	great | levi | numbered | fathers	A1	tua mipa a hau suakin
behbehin	sons	sons | gad | joseph | children	A1	Amau’ behbehin Josef minamte in: Manasseh leh Efraim ahi uh hi.
behin	part	part | asher | according | among	A1	a behin ulian sawmlenihte ahi Ishmael' tate leh amaute' min ahi hi.
behlap	add	part | estimation | fifth | thereof	A1	Sumbawl na siamna tawh na hauhna na behlap
behlapin	give	give | against | captives | knowledge	A1	Herod in ama mawhna khempeuh tungah hih mawhna behlapin
behpa	abram	abram | head | kin | kinsman	A1	Na sanggampa zawngin a neihsa leitang khenkhat a zuak leh
behte	family	family | brethren | house | against	A1	Ka behte leh ka lawmte bei ta hi.
bei	expire	there | days | saith | morning	A1	Jessi’ tapa David’ thungetnate bei ta hi.
beikhitna	money	money | our | lord | year	A1	
beimang	abortive	devoured | conceived | welfare | night	A1	Mi gilote’ hauhna leh lungmuan’ nate haksa loin beimang ding hi.
beina	these	these | man | end | rest	A1	A beina hong tung ta hi. Note
beisa	things	things | former | horn | push	A1	“Masa lam-a nate ciamteh kei un la
beisak	abrogate	cease | come | israel | land	A1	Leenggahzu in ka mite’ thu ngaihsut theihna beisak hi.
bek	alone	only | missing | lord | saith	A1	Amah bek in vanpi zal a, tuipi tuihualte tuancil hi.
beka	man	man | came | every | shekel	A1	Bang hang hiam cih leh
bekah	lord	lord | missing | place | stay	A1	kisathei mi in Topa sung bekah kisathei ta hen.
bekbak	chariot	chariot | where | took | off	A1	Ni a tum ciangin Abram a ihmut nak suah mahmah
bekbek	mouth	mouth | zealous | man | truth	A1	Mihoihte in thupha ngah a, migilote in thusia bekbek gen hi.
bekher	becher	becher | bela | sons | after	A1	Benjamin' tapate: Bela, Bekher, leh Jediael, thum pha uh hi.
bekin	father	father | only | alone | birthright	A1	Topa deihna bang bekin na khempeuh a piang hi.
bela	son	son | bela | sons | admah	A1	Bela’ tapate in: Addar, Gera, Abihud,
belh	graft	refuge | trust | cleave | rock	A1	Mi i muan’ sangin Topa belh ding hoihzaw hi.
belpei	grain	grain | made | dressed | unclean	A1	A khecinte, belpei kitam a hiamte tawh kibang
bem	granary	round | goats | rams | cattle	A1	Bang hang hiam cih leh Moses Thukham sungah
bemeh	bread	bread | esau | jacob | gave	A1	Tua ciangin Jakob in an leh bemeh Esau
ben	ben	ben | died | pitched | removed	A1	Moseroth panin amaute ding khia uh
beneberak	berak	berak | jehud | bene | gath	A1	
beng	opium	venison | went | themselves | fishers	A1	Hehna panin kikham in la
bengkhia	fray	fray | beasts | earth | man	A1	tuate a bengkhia ding mihing omlo ding hi.
benjamin	benjamin	benjamin | children | joseph | sons	A1	Rachel' tapate: Josef leh Benjamin ahi hi.
beon	beon	beon | shebam | nebo | ataroth	A1	“Ataroth, Dibon, Jazer, Nimrah, Heshbon, Elealeh, Sebam, Nebo, leh Beon,
beor	beor	beor | balaam | bela | pethor	A1	Beor’ tapa Bela in Edom gamsung uk hi
bera	bera	bera | berea | king | asia	A1	hih kumpite in Sodom kumpipa Bera
bered	between	between | tahath | son | bered	A1	Tua ahih ciangin tua tuikhuk pen Beerlahairoi kici
beriah	sons	sons | beriah | family | evil	A1	Makhael, Ishpah, leh Joha in Beriah’ tapate ahi uh hi.
beril	beryl	beryl | sardius | eighth | topaz	A1	a gual lina in, beril suang, onik suang leh jasper
beten	achshaph	achshaph | hali | beten | border	A1	A gam in Helkath, Hali, Beten, Akshaf,
beth	beth	beth | came | jericho | house	A1	Beth Markaboth, Hazarsusim, Bethbiri, leh Shaaraim-ah teng uh hi. Hihte
bethba	meon	meon | baal | beth | heshbon	A1	leh mualzang tunga om a khuapite khempeuh; Dibon
bethdagon	gederoth	gederoth | dagon | beth | toward	A1	a khuaneute tawh zong ahi hi.
bethharam	beth	beth | valley | haram | nimrah	A1	leh Bethharam kuam sungah Bethnimrah
bethharan	nimrah	nimrah | beth | haran | fenced	A1	Bethnimrah, Bethharan-te satin tuute adingin tuu-khawkte bawl uh hi.
bethhogal	valley	valley | jericho | beth | hoglah	A1	Tu-in amau’ beh tawh kizui-in Benjamin minamte’ khuapite in Jerikho, Bethhogal, Emekkeziz,
bethhoglah	beth	beth | passed | border | hoglah	A1	Tu-in amau' beh tawh kizui--in Benjamin minamte' khuapite in Jerikho, Bethhoglah, Emekkeziz,
bethhoron	beth	beth | pass | japhleti | near	A1	tua ahih ciangin Solomon in Gezer) leh Bethhoron nuainung
bethjeshimoth	jordan	jordan | jeshimoth | beth | cities	A1	leh Bethpeor, leh Pisgah pang suk, leh Bethjeshimoth,
bethlebaoth	beth	beth | lebaoth | sharuhen | thirteen	A1	Bethlebaoth, leh Sharuhen—khuapi sawm-le-thum, a khua neute tawh ahi hi;
bethlehem	beth	beth | lehem | ephrath | way	A1	Amah in Bethlehem, Etam, Tekoa,
bethmarka	beth	beth | ziklag | marcaboth | hazar	A1	
bethnimrah	beth	beth | haram | nimrah | valley	A1	Bethnimrah, Bethharan-te satin tuute adingin tuu-khawkte bawl uh hi.
bethpazzez	beth	beth | haddah | pazez | remeth	A1	Remeth, En-gannim, Enhaddah, Bethpazzez huam hi;
bethpelet	beth	beth | pelet | heshmon | jeshua	A1	
bethpeor	over	over | dwelt | buried | peor	A1	leh Bethpeor, leh Pisgah pang suk, leh Bethjeshimoth,
bethshean	manasseh	manasseh | beth | valley | jezreel	A1	Ahilud' tapa Baana: Taanak khua
bethshemesh	beth	beth | down | amaziah | shahazimah	A1	Ashan a lonona gamte tawh
bethtappuah	beth	beth | janum | tappuah | aphekah	A1	
bethuel	bethuel	bethuel | pildash | milcah | bare	A1	Khesed, Hazo, Pildash, Jidlaf leh Bethuel ahi hi,” kici hi.
bethul	bethul	bethul | eltolad | hormah	A1	
bethzur	beth	beth | repaired | zur | son	A1	Shammai’ tapa in Maon ahi hi; Maon in Bethzur’ pa ahi hi.
betna	father	father | among | came | isaac	A1	Khatvei Jakob in meh huanin
betonim	betonim	betonim | ramath | mizpeh | mahanaim	A1	leh Heshbon panin Ramathmizpeh leh Betonim ciang
bezalel	bezaleel	bezaleel | uri | see | wrought	A1	Hur in Uri’ pa hi a, Uri in Bezalel’ pa ahi hi.
bezer	wilderness	wilderness | bezer | tribe | out	A1	Bezer, Hod, Shamma, Shilshah, Ithran, leh Be-era ahi uh hi.
bia	adore	worshipped | worship | god | saying	A1	Mipa in a lu kunin Topa bia a,
biak	offering	offering | goats | bullock | fine	A1	khialhna hanga biak nadingin keel a pa khat;
biakbuk	chapel	tabernacle | thou | boards | congregation	A1	biakbuk khetphimte leh huang khetphimte, leh amau’ khaute;
biakinn	church	house | charger | temple | nethinims	A1	Biakinn nasemte sung panin: Ziha’ suante, Hasufa’ suante, Tabbaoth’ suante,
biakinnte	nor	nor | bring | fire | egypt	A1	a suangte bangzah takin gol ahi hiam?” a ci hi.
biakna	ceremomat	offering | altar | burnt | before	A1	khialhna hanga biakna dingin keel a pa khat;
biaknatau	blood	blood | altar | there | tent	A1	Nangmah in kikhopna buk ahi biakbuk kongkhak mai-ah meihal biaknatau koihin,
biaknate	offering	offering | burnt | offerings | after	A1	A ki-ap biaknate in bawngtal zaguk leh tuu tulthum ahi hi.
biakpiak	peace	peace | lamb | god | seed	A1	A zingsang ciangin biakpiak hunin
biakpiakna	adoration	sacrifice | offerings | offer | burnt	A1	Topa in biakpiakna sangin, thuman thutang deihzaw hi.
biakpiaknate	israel	israel | after | before | ark	A1	A man biakpiaknate lui un la, { Topa } muang un.
biingta	log	log | offer | offering | oil	A1	Tua ciangin siampipa in sathau biingta panin kimkhat la-in amahmah’
bil	ear	missing | ear | ears | off	A1	Khua zak nading bil nei mi in za ta hen!”
bilbahte	earrings	earrings | ears | wives | bracelets	A1	Nakbahte, bilbahte leh na khuk ding kumpi lukhu hoih kong guan hi.
bilhah	bilhah	bilhah | rachel | maid | went	A1	Bilhah gai-in Jakob tawh tapa khat nei hi.
bilhahtungah	handmaid	handmaid | bilhah | wife | jacob	A1	numei-nasem Bilhahtungah zi-in pia hi; Jakob in tua nu luppih hi.
bilhan	these	these | ezer | sons | jezer	A1	Ezer' tapate: Bilhan, Zaavan, leh Akan ahi hi.
bilpi	hare	hare | camel | goats | cud	A1	Mualsangte in sathak’ ading hi
bilteep	ear	ear | right | blood | put	A1	Moses in tuutal go a
bilvang	thou	thou | edge | coupling | curtain	A1	A kikhuituah puan khat nawlah a bilvang sawmnga bawlin
bilvangte	coupling	coupling | second | taches | held	A1	a bilvangte khatlekhat kitang ding uh hi.
birsha	sodom	sodom | king | these | made	A1	hih kumpite in Sodom kumpipa Bera
bit	sate	end | complete | within | space	A1	kihtakhuai mahmahin na mai-ah a ding hi.
biziothiah	bizjothjah	bizjothjah | sheba | hazar | shual	A1	
boer	pethor	pethor | son | balaam | beor	A1	Hih Boer pen thulimlo leh nin huai mahmah hi.
bohan	bohan	bohan | went | stone | son	A1	
bok	ground	ground | tabernacle | couched | host	A1	A nungzuite in tua thu
boksak	water	water | time | even | women	A1	Numeite' nitak tuitawi hun laitakin khuapi pualam tuikhuk gei-ah amah in
boksuk	face	face | fell | children | faces	A1	Moses in tua thu a zak ciangin boksuk hi;
bokvak	creeping	creeping | every | cattle | earth	A1	Ganhing siangthote, a siangtho lo ganhingte, vasate, leitunga a bokvak peuhmah,
bokvakte	every	every | air | substance | over	A1	eimah hong sunin mihing bawl ni. Tuipi ngasate tung
bomte	brought	brought | forth | shot | clusters	A1	tua leenggui tungah hiang thum om hi. A sel phetin pakkhia pah
both	marcaboth	marcaboth | beth | hazar | susah	A1	
botkhia	cast	cast | removeth | given | young	A1	amau' kam sunga a om a hate uh sutan in la
bozkath	bozkath	bozkath | daughter | years | one	A1	Josiah in uk ding a kipatin kum giat pha
bozrah	jobab	jobab | son | edom | bozrah	A1	Bozrah khuami Zerah’ tapa Jobab in ama' tangin uk hi.
bua	days	days | unclean | blood | gathered	A1	Amah in a innsung kimkot kiatsakin
buah	ground	ground | part | drink | covers	A1	leitung panin meiilum kaaito-in lei maitang khempeuh a buah hunin
buahna	wateredst	wateredst | thou | land | came	A1	Amah in sabuai tunga om ding beellekuangte
buak	there	there | dishes | lay | took	A1	Amah in leitungah guah zusak a, lo khempeuh tui a buak hi.
buakhia	water	water | earth | ground | round	A1	Sisan na ne kei ding uh hi; tui bangin leitungah
bual	lagoon	pool | waters | full | other	A1	David khuapi mun tampi tak a siatna mu-in
buan	earthen	shalt | slime | force | lay	A1	Zeisu in buan bawlin mit
buang	put	put | portion | joseph | any	A1	“A kiphuk khinsa singkung nangawn in lametna nei buang
buangin	given	given | could | give | springs	A1	A nungzuite in lamdangsa uh
buangun	bread	bread | your | fetch | morsel	A1	Galkap mangpa in tuate enen
buasak	brother	brother | seed | should | ground	A1	sanggampa' tungah ta pia khading ahih manin
buhcilna	beyond	beyond | saw | cart | instrument	A1	Atad' buhcilna phual a tun' uh ciangin
buhkung	straw	straw | both | provender | consumed	A1	Ama adingin sikte, buhkung bangin nip
buhlom	about	about | full | thus | behold	A1	Eite in lo lai-ah buhlom i hen
