zolai	english	translations	cefr	example
asia	asia	asia | pronouncing | your | spoil	A1	a sia-in gamtat ding nuam a sa, asia-a gamtatna-ah a lungkim mahmah,
asriel	family	family | children | concubine | asriel	A1	Asriel pan Asriel behte ahi uh hi; Shekhem pan Shekhem
asshur	elam	elam | canneh | asshur | shem	A1	Shem’ tapate: Elam, Asshur, Arpakshad, Lud, leh Aram ahi hi.
asshurim	asshurim	asshurim | dedan | sons | letushim	A1	Jokshan pen Sheba leh Dedan' pa ahi hi. Dedan' tate: Asshurim
assiri	shur	shur | dwelt | havilah | before	A1	Amaute Izipt nisuahna, Assiri lam Havilah panin Shur dongah teng
assiria	king	king | assyria | saying | thus	A1	Tua gam panin Assiria gamsungah amah pai a, Nineveh, Rehoboth-Ir, Kalah leh
asungkuate	made	made | offering | fire | offer	A1	
asusia	more	more | neither | any | flood	A1	Zo ngeina hoihte asusia ding, alumlet ding i hi kei hi.
atad	atad	atad | canaanites | mourning | beyond	A1	
atam	plentiful	meteyard | judgment | weight | unrighteousness	A1	Tua khuapi pen Pasian' vang tawh te ziazua
ataroth	ataroth	ataroth | archi | addar | janohah	A1	Gad minamte in khuapi muanhuai Dibon, Ataroth, Aroer,
ate	manner	manner | themselves | people | saith	A1	Hih a nuai-ate zong Kaleb' suanlekhakte ahi uh hi. Kaleb'
ath	mephaath	mephaath | passed | suburbs | come	A1	“Pasian’ thukhenna mualtung gam teng leh Holon khua, Jahzah khua, Mefa-ath khua,
atharim	tell	tell | israel | king | arad	A1	amaute kimkhat salin a man hi.
athau	fatty	caul | offerings | peace | fat	A1	Aaron’ suante sung panin thunuam-a biakna sisan leh athau
atin	old	old | eat | mountains | missing	A1	Ama' vun dawn a ki-atin Abraham kum sawmkua-le-kua pha hi;
atna	circumcise	circumcise | done | reap | law	A1	Tua ahih ciangin { Topa } in Moses thatlo hi.
atoroth	atroth	atroth | shophan | jaazer | jogbehah	A1	
atsak	god	god | greek | gentiles | uncircumcision	A1	ama inn sunga om mite' lak panin pasal khempeuh samin
